technology,capex_usd,energy_mw,link_budget_db,latency_ms,data_rate_mbps,transmission_range_km,max_network_size,channel_bandwidth_khz
Wi-Fi 7 (802.11be),1.098095634063964,3.2226365217547004,-2.206798838124664,-0.5184777610854507,1.9641480805195086,-0.41240413682903476,-0.2757428420536668,3.450775790291396
Wi-Fi 6 (802.11ax),-1.2270635186161847,0.9971123115387004,-0.5175078093820977,-0.5125794367833213,2.117709660953347,-0.4144795203816383,0.6345939233748599,-0.1172177360413813
Wi-Fi HaLow (802.11ah),-0.23065690086186852,-0.383129984584635,-0.4541593958042515,-0.5097345209568666,0.6546918710147117,-0.39972123734090204,-0.13944202355640675,-0.16479098305915166
5G RedCap (NR-Light),1.0330257146337105,-0.3598732565878778,0.7916927378933911,-0.5124247486887386,0.8521408765084041,3.4282084263500585,-0.36210853371027785,-0.1172177360413813
NB-IoT (Cat-NB2),-0.19854349448178013,-0.3857727945842665,1.0873186679233402,3.1799128133056613,-0.6090365038059842,-0.18449627633016533,-0.36210853371027785,-0.3527053087793446
LTE-M (Cat-M1),0.62945414891743,-0.357536456167151,0.8761572893305194,-0.5056991793590585,-0.6403370564783895,-0.07688379582479694,-0.36210853371027785,-0.3384333346740135
LoRaWAN,1.8664265499143076,-0.3843540229002538,1.2140154950790327,0.4896850814336031,-0.6621766755294375,-0.4074078430912855,1.6205327264219702,-0.3535973071609278
Sigfox,-0.7352999807455614,-0.3907802240572525,1.4251768736718535,-0.11561615823761,-0.6689271088655252,-0.18449627633016533,1.578688775601464,-0.35389463995478887
Bluetooth 5.4 (BLE),-0.4890248433002718,-0.3921711766886375,-0.34435547893598495,-0.4989736100293783,-0.46578678564578974,-0.412788467116554,1.2900404532697127,-0.33129734762134794
Zigbee 3.0,-1.353989667415317,-0.39122532889929573,-0.24299801721143072,-0.47879690204033787,-0.6090365038059842,-0.26136233383399987,-1.4495959097346778,-0.2956174123580202
Thread (1.3),-1.3632887343241615,-0.3923659100570314,-0.014943728331184037,-0.4989736100293783,-0.6090365038059842,-0.412788467116554,-1.4495959097346778,-0.33129734762134794
Z-Wave Long Range,0.09426046734176305,-0.39243267578333785,-1.0242951180048676,-0.2501275448312129,-0.6621766755294375,0.04610189618133834,0.29482380101060107,-0.35389463995478887
Smart Ubiquitous Network-Wi-SUN (FAN),0.8766046248739695,-0.39010700298366213,-0.5893026781036569,0.7318055773020883,-0.6621766755294375,-0.3074819683363006,-1.0179773934683354,-0.340811997024902
